text,replyToSN,screenName,retweetCount,isRetweet
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,JosephR1201,3881,TRUE
RT @hermannkelly: Big Tech is a big danger to Irish democracy. Twitter censoring then lying about #JoeBiden and #Ukraine. Clear evidence he…,,Marie61172377,8,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,gashigar1,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,CrowleysLambert,3881,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,kdp59,4911,TRUE
RT @RealJamesWoods: Sharpshooter #JoeBiden: “Shoot ‘em in the leg!”  https://t.co/4sLt3Ij4tD,,thezafrican,3232,TRUE
"RT @sjs856: Lift Every Voice: Why Black People Should Vote For Joe Biden and Kamala Harris

@SymoneDSanders 

#DrewComments #BidenHarris202…",,miguelfenty,645,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,Tony_Porras2050,3881,TRUE
RT @BernardineEvari: So this week I was awarded the Gold Medal of Honorary Patronage by the Philosophical Society (est 1683 &amp; the world's o…,,the_blochian,15,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,JosephineDeLaR6,3881,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,oldblackcat13,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,leonorvargas20,3881,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,MccarronWendy,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,SuruchiGokhale,3881,TRUE
RT @BernardineEvari: So this week I was awarded the Gold Medal of Honorary Patronage by the Philosophical Society (est 1683 &amp; the world's o…,,catwrote,15,TRUE
"RT @SandraSentinel: Facebook and Twitter and Google have interfered in election more than Russia and China.

Makes one wonder is Russia and…",,speakerforthed5,201,TRUE
"RT @John_Kass: #JoeBiden &amp; the Democrats had this impeachment thing that was bleepin' golden, but #HunterBiden messed it up. My latest colu…",,kris_kinder,65,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,MichaelHowardR2,3881,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,T77Jim,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,MatthewsDianme,3881,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,Phyllis30188634,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,AnnStrahm,3881,TRUE
#USElectionsTracker: US President Donald Trump is counting on the states where he won heavily in 2016 as the campai… https://t.co/lReiyVsQDl,,moneycontrolcom,1,FALSE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,talorelli,3881,TRUE
"RT @BetteMidler: A great, coherent, actually #hopefulTownHall thanks to #JOEBIDEN.   It was such a thrill to hear intelligent questions ans…",,ciao6988,945,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,PrrrrrRob,3881,TRUE
"RT @21WIRE: We now know the Russians never meddled or interfered in the 2016 &amp; 2018 elections. No, the threat is much closer to home. Here'…",,RBHam63,99,TRUE
RT @RealJamesWoods: Sharpshooter #JoeBiden: “Shoot ‘em in the leg!”  https://t.co/4sLt3Ij4tD,,JRW7305,3232,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,Die_Strickoma,3881,TRUE
"RT @BetteMidler: A great, coherent, actually #hopefulTownHall thanks to #JOEBIDEN.   It was such a thrill to hear intelligent questions ans…",,JeriMiller110,945,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,glambertgranny,3881,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,Phyllis30188634,3881,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,KingNegroni,3881,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,johncoriem_john,3881,TRUE
"@GiannoCaldwell Now ask #JoeBiden.  He actually has verifiable links to the White Supremacist #KKK. 
Not asking… https://t.co/KftmxXSLXJ",GiannoCaldwell,utopianindigent,0,FALSE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,ShulzL,3881,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,Pandora60now,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,samXmcbride,3881,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,PiyushK83385219,4911,TRUE
"RT @sjs856: Lift Every Voice: Why Black People Should Vote For Joe Biden and Kamala Harris

@SymoneDSanders 

#DrewComments #BidenHarris202…",,Blue__Sailor,645,TRUE
RT @tom_paints: Imagine thinking Mr. Rogers is an insult.  It's a beautiful day to vote for Biden. #JoeBiden #Election2020 https://t.co/n1q…,,realOpMaga,103,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,ssc153,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,anjenhic,3881,TRUE
I like #MrRogers. And I really like our new #President - #JoeBiden.,,PJB956,0,FALSE
I believe #JoeBiden will #VOTE  for #DonaldTrump,,Hunter19302,0,FALSE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,Sophia_RESISTS,3881,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,Ritznava,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,fireworkbonnie,3881,TRUE
"RT @JordanSekulow: In email from #Burisma exec to #HunterBiden - “Dear Hunter, thank you for inviting me to DC and giving an opportunity to…",,hmwill8_harold,1586,TRUE
