text,replyToSN,screenName,retweetCount,isRetweet
"RT @humen543: @WHO study :#Remdesivir, #Lopinavir, #HCQ ,#Interferon failed in #covid19 patients ! #WTF !

Put on #Masks !

#VoterSuppressi…",,MImproxyble,1,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,MonzonTara,24414,TRUE
"RT @DanScavino: LET’S WIN!!! #MAGA🇺🇸🦅
#VOTE #TrumpPence2020 
🌐https://t.co/zqgeZML9Hf https://t.co/ympD00o5et",,rtmbwhy,8791,TRUE
"RT @BinoARealuyo: #Trump2020Landslide

Most normal people of the future will look back to our time as nothing but an anomaly, and #MAGA as…",,FosterTheVox,265,TRUE
RT @LouDobbs: Drain the Swamp: @SidneyPowell1 says we must reelect @realDonaldTrump to take back the power the deep state has deprived him…,,Lulu78287196,1962,TRUE
"RT @DaisyCousens: Well well, looks like my little tweet earned itself a retweet by President Trump himself! Best day ever! 😃 @realDonaldTru…",,Justloo85230955,101,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,DownTown_HandM,24415,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,john_siracusa,24415,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,rNpG57kjmxfOR4G,24415,TRUE
@Isabell55943101 I follow back ALL PATRIOTS!!! #MAGA I only have 183 followers help me reach at least 300… https://t.co/qWFLo0fV4E,Isabell55943101,_Notademocratbf,0,FALSE
"RT @realDonaldTrump: In just 3 and a half years, we have secured America’s Borders, rebuilt the awesome power of the U.S. Military, obliter…",,ShanthaDevi7,16498,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,OsuEdem1,24415,TRUE
RT @LouDobbs: Drain the Swamp: @SidneyPowell1 says we must reelect @realDonaldTrump to take back the power the deep state has deprived him…,,LunarLemonade,1962,TRUE
RT @LouDobbs: Big Tech Bias: Lou condemns Silicon Valley executives for their relationship with the Radical Dems and their censorship of in…,,talkaboutaman,609,TRUE
political journalist lied about one thing that end of day caused no harm #POTUS lied about everything for 4 years c… https://t.co/wuFAccNg8w,,bombast47876007,0,FALSE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,AdrienneGreen3,24415,TRUE
#NoddingWoman #TrumpTownHall #MAGA #TRUMP2020 https://t.co/6cp7koWPJn,,CaliforKek,0,FALSE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,hinonarudaisuki,24415,TRUE
"RT @ImBaack2: #CrookedJoeBiden YA ES TENDENCIA EN EEUU....AHORA DEBE SER TENDENCIA MUNDIAL, PA QUE TWITTER SEA SERIO!!  
#TrumpHelpUS 
#Tas…",,22_ofm,236,TRUE
"RT @realDonaldTrump: THANK YOU FLORIDA! #MAGA 
https://t.co/gsFSghkmdM https://t.co/jwksiCOm1H",,ShanthaDevi7,21649,TRUE
"RT @realDonaldTrump: I was thrilled to be back in my home state of FLORIDA with thousands of loyal, hardworking American Patriots in Jackso…",,ShanthaDevi7,19143,TRUE
RT @IndyEnigma: ‘Worse than expected’: https://t.co/ZMEN1txDxc Greg Gutfeld shreds the ‘horrible show trial’ for Trump disguised as an NBC…,,jdep22,3,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,JoeWinstead2,24415,TRUE
"RT @matteosalvinimi: Amici, chi vincerà secondo voi negli Stati Uniti??? 🇺🇸🇮🇹
#Trump2020 #MAGA #MAGA2020
#Elections2020 #VOTE https://t.co/…",,MassimoSantoma2,303,TRUE
RT @LouDobbs: Big Tech Bias: Lou condemns Silicon Valley executives for their relationship with the Radical Dems and their censorship of in…,,LunarLemonade,609,TRUE
"RT @ImBaack2: #CrookedJoeBiden YA ES TENDENCIA EN EEUU....AHORA DEBE SER TENDENCIA MUNDIAL, PA QUE TWITTER SEA SERIO!!  
#TrumpHelpUS 
#Tas…",,tovar_romer,236,TRUE
"RT @EdanClay: I keep looking in all those long voting lines they show on TV for #MAGA @realDonaldTrump supporters, but from what I can see…",,Mandelamen,24,TRUE
"RT @realDonaldTrump: Thank you Jacksonville, Florida. See you all TONIGHT! #MAGA https://t.co/thHRd9UwXv",,ShanthaDevi7,17206,TRUE
"RT @realDonaldTrump: Proud citizens like you helped build this Country—and together, we are taking back our Country. We are returning power…",,_AlbertEspinosa,16079,TRUE
"RT @matteosalvinimi: Amici, chi vincerà secondo voi negli Stati Uniti??? 🇺🇸🇮🇹
#Trump2020 #MAGA #MAGA2020
#Elections2020 #VOTE https://t.co/…",,_fiorucci,303,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,RAJESHR30978881,24415,TRUE
@NH_Kentt @ToniRubano @shawgerald4 @realDonaldTrump Lay on ur back and puke away!!! #MAGA🇺🇲,NH_Kentt,DonaldMAGATrum1,0,FALSE
NBC's Savannah Guthrie https://t.co/0ctYOv9e9O accused of bias after contentious Trump town hall #ccot #dems #gop… https://t.co/MV7uxiDJEw,,IndyEnigma,0,FALSE
RT @LouDobbs: Drain the Swamp: @SidneyPowell1 says we must reelect @realDonaldTrump to take back the power the deep state has deprived him…,,JKR14724493,1962,TRUE
"RT @matteosalvinimi: Amici, chi vincerà secondo voi negli Stati Uniti??? 🇺🇸🇮🇹
#Trump2020 #MAGA #MAGA2020
#Elections2020 #VOTE https://t.co/…",,rdelliponti,303,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,ShanthaDevi7,24415,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,AugustusLiberd1,24415,TRUE
"RT @mikandynothem: The @JoeBiden and Dem meltdown is in high gear!
#CrookedJoeBiden #MAGA #FoxNews #JoeBidenUkraineScandal https://t.co/R82…",,William_Hker,1399,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,Vladymedina1,24415,TRUE
"20% off with ZAZDAY5DEALS

Trump Sucks black font T-Shirt
@Zazzle

https://t.co/ipU4xjrtTc

@pASob_dESIGN… https://t.co/8xAA0OHf1o",,pASob_dESIGN,0,FALSE
"RT @realDonaldTrump: Proud citizens like you helped build this Country—and together, we are taking back our Country. We are returning power…",,ShanthaDevi7,16079,TRUE
RT @LouDobbs: Drain the Swamp: @SidneyPowell1 says we must reelect @realDonaldTrump to take back the power the deep state has deprived him…,,sand3633,1962,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,jaypneu,24415,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,MTZTKO,24415,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,Ruffinit57,24415,TRUE
"RT @DanScavino: A great night in Miami, Florida for President Trump! Just departed the venue a few moments ago! Check out @TeamTrump for hi…",,SaletrosStephen,4552,TRUE
RT @LouDobbs: Drain the Swamp: @SidneyPowell1 says we must reelect @realDonaldTrump to take back the power the deep state has deprived him…,,haddon_gail,1962,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,Mnor,24415,TRUE
"RT @matteosalvinimi: Amici, chi vincerà secondo voi negli Stati Uniti??? 🇺🇸🇮🇹
#Trump2020 #MAGA #MAGA2020
#Elections2020 #VOTE https://t.co/…",,danileleorsato,303,TRUE
@RealJamesWoods you gotta admit this is just great! #SavannahGuthrie #maga https://t.co/HlA4sMKwmC,RealJamesWoods,inevitableUSA,0,FALSE
Uh-Oh: https://t.co/x9BMfZPlOm Biden Was GASSED an Hour Into His Town Hall #ccot #dems #gop #libcrib #lnyhbt #maga… https://t.co/UATOfaYfKh,,IndyEnigma,0,FALSE
"RT @DonaldJTrumpJr: 🚨TODAY🚨 

I am in Arizona today campaigning, but it’s the last day to register to vote for AZ residents. If you love yo…",,TrishaThomas4,2696,TRUE
